id	created_at	text	author_id
1712257523296653367	2023-10-12T00:03:00.000Z	RT:<<newline>><<newline>>VIDEO: In western Afghanistan, thousands of people who survived a devastating earthquake that killed at least 1,000 people are bracing for a winter of homelessness, as rescuers make last-ditch efforts to find anyone still alive in the debris. https://t.co/PPft4D7Ygq<<newline>><<newline>>  — A…	12896172
1712257506687262936	2023-10-12T00:02:56.000Z	Another gigantic earthquake in Afghanistan. Looks like they mitigated deaths by evacuating one whole town that was destroyed. Hoping we can develop / distribute better technology to save lives. <<newline>><<newline>>https://t.co/VRAnXPrCdY	305856723
1712256770369089913	2023-10-12T00:00:00.000Z	VIDEO: In western Afghanistan, thousands of people who survived a devastating earthquake that killed at least 1,000 people are bracing for a winter of homelessness, as rescuers make last-ditch efforts to find anyone still alive in the debris. https://t.co/eqgEv1gzRi	380648579
1712256614911053986	2023-10-11T23:59:23.000Z	Afghanistan is hit by another earthquake, days after tremor that killed over 2,000 #NewsBreak https://t.co/0bVHVmkMcP	1476775741450862592
1712255823240458652	2023-10-11T23:56:15.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000<<newline>>https://t.co/FEhFXn1fIy	314130346
1712251458274361494	2023-10-11T23:38:54.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000 #NewsBreak PRAYERS 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 https://t.co/DJXfai9GpA	1489324458003382277
1712251286811193612	2023-10-11T23:38:13.000Z	20231011: Ebrahim Noroozi, Rahim Faiez AP: 6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000 https://t.co/yzuyYYpQBQ	29905232
1712249797720018978	2023-10-11T23:32:18.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000 #NewsBreak https://t.co/s5HmJ6w3x4	1155855135031083009
1712249245141512216	2023-10-11T23:30:06.000Z	Another strong earthquake has shaken part of western Afghanistan where a quake on Saturday killed more than 2,000 people. The 6.3-magnitude earthquake on Wednesday morning was about 17 miles outside Herat, the capital of Herat province. The epicente… https://t.co/3guWWgjE10	44976030
1712249173532144081	2023-10-11T23:29:49.000Z	Nearly 3,000 people have been killed after a 6.3-magnitude earthquake, struck Herat in Afghanistan. <<newline>><<newline>>The earthquakes in Afghanistan bring further suffering to an already hard-hit population. Heartbreaking. https://t.co/jluXvLWdTP	2938349608
1712246785417023569	2023-10-11T23:20:20.000Z	@ChingKaiLok1 @mariyyum Pray for Afghanistan, another earthquake has struck 💔 May Allah عزوجل grant those who have lost their lives Jannatul Firdaus and ease the sufferings of the ummah 🤲🏾	1188121590724202501
1712246481032548607	2023-10-11T23:19:07.000Z	@komonews A kind gesture certainly. Now what about the over 1,000 killed this last week in the earthquake in Afghanistan? Are their lives worth less…	1642919849335877632
1712241609855975679	2023-10-11T22:59:46.000Z	February 1, 1991 –   The 6.4 mb Hindu Kush earthquake affected northeast Afghanistan with a maximum Mercalli intensity of VII (Very strong), causing extreme damage, leaving 848 dead and 200 injured.  #FullMoon  https://t.co/6O0gRHvOVr https://t.co/AzOLrXl74W	874102244
1712241327478394940	2023-10-11T22:58:39.000Z	🚨 Magnitude 6.3 earthquake hits western Afghanistan, hitting an area where more than 2,000 people were killed after a series of similar tremors on the weekend<<newline>><<newline>>READ: https://t.co/O8HCWjeZUm	47435143
1712241032044417267	2023-10-11T22:57:28.000Z	https://t.co/C4xxBl7Ell<<newline>><<newline>>More than 2,400 people were killed in earthquakes in Afghanistan’s western province of Herat, the Taliban administration said on Sunday, Oct. 7, in the deadliest tremors to rock the quake-prone mountainous country in years.	1390598081956126723
1712240577788494007	2023-10-11T22:55:40.000Z	Not forgotten incident in 2023 October <<newline>>1 : Afghanistan Earthquake 🇦🇫 <<newline>>2 : Palestine conflict with isreal <<newline>>Really we lost more human lives on this month 💔 😞 Won't be forgotten by world history <<newline>>#Israel <<newline>>#FreeGaza <<newline>>#AfghanistanEarthquake <<newline>>#NaveenUlHaq https://t.co/tD8zYmW4dS	1507324090713088006
1712236550212530469	2023-10-11T22:39:40.000Z	A series of earthquakes in Afghanistan's Herat province have caused significant casualties and damage. The reporting on the event varies acr...<<newline>><<newline>>#Afghanistan #Earthquake #DisasterResponse <<newline>> https://t.co/rN4mrN140l	1685724728672350208
1712236548866138129	2023-10-11T22:39:39.000Z	A series of earthquakes in Afghanistan's Herat province have caused significant casualties and damage. The reporting on the event varies acr...<<newline>><<newline>>#Afghanistan #Earthquake #DisasterResponse <<newline>> https://t.co/AVx9Pazsiq	1685397803986571265
1712235952876277926	2023-10-11T22:37:17.000Z	Other news you probably missed an earthquake in Afghanistan killed 2000 people, The judge in Hunter Biden's case dismissed the gun charge, s the Rs can't decide on a Hose speaker, country runs out of money in 4 days.	27889066
1712233230013726755	2023-10-11T22:26:28.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000<<newline>>https://t.co/rLCUZ2HkE5	600417431
1712232396207059107	2023-10-11T22:23:09.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where earlier quake killed over 2,000 https://t.co/YogzbFZ5vl	911309617
1712231091203977565	2023-10-11T22:17:58.000Z	#Believers #pray for the #family and #friends’ #morning the #loss of at least #2000 people #killed in #Afghanistan by a powerful earthquake. A Taliban government spokesman said on Sunday, October 8, 2023, the powerful earthquake occurred in western	1269091685398708225
1712230533436944637	2023-10-11T22:15:45.000Z	New earthquake flattens homes in area of Afghanistan where earlier quake killed over 2,000<<newline>>https://t.co/Rh12oSpBCP	1666693054231896064
1712228783292297644	2023-10-11T22:08:48.000Z	Heartbreaking news Afghanistan: <<newline>><<newline>>This morning another 6.3 magnitude earthquake hit near Herat.<<newline>><<newline>>Teams were responding to the earlier quake and aftershocks since Saturday, which killed over 2,000 people. <<newline>> 💔😑😑 <<newline>><<newline>>#AfghanistanEarthquake	1462726662529839108
1712228781908242852	2023-10-11T22:08:47.000Z	@elonmusk Can you or your charity also lend a supporting hand to the devastated people of #Herat Afghanistan. 4000 lives were lost to a tragic #earthquake at the same time when the mainstream media was &amp; is only concerned with the new war.	1361781678
1712228524524740783	2023-10-11T22:07:46.000Z	Another strong earthquake strikes Afghanistan days after thousands of people were killed https://t.co/k5qxxAg57Y	1216087959503429633
1712227917348958423	2023-10-11T22:05:21.000Z	Another earthquake rattles Afghanistan days after deadly earthquake. Another 2,000 killed. <<newline>><<newline>>https://t.co/g9vnY8BKjM via @usatoday	1278474466520072192
1712224142060081439	2023-10-11T21:50:21.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000<<newline>>https://t.co/qgyb9MyEkC	489756858
1712223057605996798	2023-10-11T21:46:03.000Z	Afghanistan cricketers wear black armbands to mourn lives lost following heart-wrenching earthquake<<newline>>https://t.co/amJgnyWnQL	1545445144950091777
1712221455339905488	2023-10-11T21:39:41.000Z	"Rock &amp; Roll! Afghan Earthquake Keeps Symmetry with Death Rate; Afghanistan Now Earthquake Capital.<<newline>><<newline>>In a harrowing display of landslide victories in the ""Most Unpredictable Nation"" category, Afg...<<newline>>FULL:<<newline>>https://t.co/fGeVKAhsZK<<newline>>#ShakySituation https://t.co/obTEe5DNIz"	1706309514960498688
1712219548126945304	2023-10-11T21:32:06.000Z	Another earthquake has hit western Afghanistan, just days after two large quakes in the same region killed more than 1,000 people <<newline>><<newline>>https://t.co/QVF43elThi	2817302941
1712219174720917537	2023-10-11T21:30:37.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000 (from @AP) https://t.co/a51BEkmG9d	1201234516880216065
1712218890539819054	2023-10-11T21:29:29.000Z	Afghanistan Revises Earthquake Death Count, Says Around 1,000 Killed https://t.co/TSXyKa4kxE https://t.co/IjS5JpwZ9N	37034483
1712216954616828011	2023-10-11T21:21:48.000Z	"In Afghanistan quake, death toll from two quakes had climbed to at least 1,053, maybe closer to 2,000. ""The vast majority of those dead belonged to only 11 villages.""<<newline>><<newline>>Vivid story.<<newline>><<newline>>Afghans Mourn Unimaginable Loss From Quake 👇 https://t.co/UFaEGauCwh"	284219141
1712214992366207210	2023-10-11T21:14:00.000Z	While Gaza is suffering, Afghanistan has also gone through a second earthquake following the one which previously killed 2400. Afghanistan is incapable of recovering from this destruction without significant aid.	1472224267467202569
1712213201335833031	2023-10-11T21:06:53.000Z	Afghanistan hit by second strong quake days after first killed more than 2,000 https://t.co/HkrJK7Fjf1 @FRANCE24より	1305564051183792129
1712213189876744604	2023-10-11T21:06:50.000Z	Praying for humans in #Israel &amp; #Gaza to see themselves &amp; their children in one another.The leaders of the world all over, have marched their young &amp; poor into death. No #God calls for killing. Praying for innocent lives lost in #Afghanistan #earthquake <<newline>><<newline>>https://t.co/bMx2F2R25O	1284126004236169217
1712211474288918851	2023-10-11T21:00:01.000Z	📷: Afghan volunteers and villagers are seen in the Zenda Jan district in Herat province, Afghanistan, Oct. 11, 2023. Another strong earthquake shook part of western Afghanistan Wednesday where a quake on Saturday killed more than 2,000 people.<<newline>><<newline>>https://t.co/PvfySlza8Z https://t.co/xBeEaglEGK	16273831
1712208954447585323	2023-10-11T20:50:00.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where earlier quake killed over 2,000<<newline>>https://t.co/CslWf9JtqS	1585966996801421313
1712208093331751197	2023-10-11T20:46:35.000Z	At least 2,000 Killed as Second Earthquake Hits Afghanistan https://t.co/LlPZezzNbm via @YouTube	934534219602255874
1712208034926109127	2023-10-11T20:46:21.000Z	Afghanistan is bleeding once again, but the whole world turns their back on them. They need aid. Afghanistan was hit by a second major 6.3M Earthquake within the span of 3 days. 3,000+ people have already been confirmed dead and over 10,000 injured. My thoughts and prayers go out… https://t.co/BvJ8OTxqYl	1526928789644750849
1712207626509926506	2023-10-11T20:44:44.000Z	Another earthquake struck western Afghanistan today, worsening a crisis that began last Saturday, when the most damaging earthquake in Afghanistan in decades left thousands of innocent civilians dead and over 10K without shelter. (1/3)	1063252864213110784
1712207235126866013	2023-10-11T20:43:10.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000 #NewsBreak https://t.co/EhajdH3Z6j	2311112365
1712206436011524325	2023-10-11T20:40:00.000Z	Another strong earthquake has shaken part of western Afghanistan where a quake on Saturday killed more than 2,000 people. Stay informed:<<newline>>https://t.co/hHxjfWh0Jh	9130702
1712204475140555198	2023-10-11T20:32:12.000Z	#Afghanistan: Herat earthquake update via @UNOCHA:<<newline>><<newline>>▪️  Another 6.3 magnitude earthquake struck #Herat on the morning of 11 October<<newline>><<newline>>▪️ One person was reportedly killed, and an estimated 140 people injured <<newline>><<newline>>▪️ Several villages are significantly damaged <<newline>><<newline>>https://t.co/iuuZFFyVLq https://t.co/Y25bSn5RXF	19993545
1712204084378280001	2023-10-11T20:30:39.000Z	Another earthquake struck Afghanistan Wednesday morning.<<newline>><<newline>>More than 80 people have been injured in addition to 12,000 affected by the first earthquake with more than 3,000 people killed and injured.<<newline>><<newline>>Learn about our response and how to help: https://t.co/m6yDFj6iJL https://t.co/a6bKRLqdPS	14055301
1712203203755012309	2023-10-11T20:27:09.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000 🤔 where will one hit next Palestine?  https://t.co/GYE3uMrmhV	1291032699994427392
1712202223147479310	2023-10-11T20:23:15.000Z	Safia, a 2-year-old being treated for a concussion, has lost 18 family members from the earthquake in Afghanistan.<<newline>>You can help change a life by donating to our earthquake relief fund. <<newline>><<newline>>https://t.co/P3Seb47n22 https://t.co/ODOhw5z6DO	54892292
1712198967209996365	2023-10-11T20:10:19.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000 https://t.co/KnpiOyx7IL	43638058
1712196046317555992	2023-10-11T19:58:43.000Z	I found this on NewsBreak: 6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000 <<newline>>https://t.co/uYEzPDr6xt	1695248044550172672
1712196010980630681	2023-10-11T19:58:34.000Z	😢🌍 Afghanistan Quakes Claim 2,000 Lives🏚️🚑<<newline>>https://t.co/a5fPwhMjkD<<newline>><<newline>>Signs in Nature, Matthew 24:7<<newline>>#naturaldisaster #disaster #cyclones #heatwaves #disasterrelief #disasterpreparedness #earthquake #climatechange #disasterrecovery #disasters #naturaldisasters #emergency #fire	1553392495014432768
1712194610594746482	2023-10-11T19:53:00.000Z	6.3 earthquake strikes Afghanistan region already devastated by massive quake https://t.co/G82dG2fyEK	1031585441315803137
1712193899601547514	2023-10-11T19:50:11.000Z	Afghanistan shaken by huge earthquake days after previous one killed at least 2,000 https://t.co/bs6Ynor3OX	36364025
1712191013270540580	2023-10-11T19:38:43.000Z	#earthquake_in_Afghanistan 2000 human lives lost, 2000 dreams buried. 2000! https://t.co/k8oGynM0AA	1349977222623473664
1712190496058048661	2023-10-11T19:36:39.000Z	Afghanistan hit by second strong earthquake in days<<newline>>6.3 magnitude earthquake strikes Herat province days after deadly quakes killed an estimated 1,000 people. https://t.co/7sX81hnEDt	1625917143450615808
1712188164876513403	2023-10-11T19:27:24.000Z	"6.3 magnitude #Earthquake shakes part of western #Afghanistan where an earlier quake killed over 1,000 people. New 6.3 magnitude quake struck at 05:10 local time (00:40 GMT), 28km (17 miles) north of #Herat <<newline>><<newline>>""Ground will open and swallow us at any moment"" - Afghan man in a tent. https://t.co/Gb0gNGSTGi"	1554158416003846144
1712188015026512071	2023-10-11T19:26:48.000Z	Don’t forget to keep Afghanistan in your Prayers and Du’as, they have been hit with another earthquake this morning <<newline>><<newline>>May Allah سبحانه وتعالى grant Jannat ul Firdous to the ones who lost their lives and give their family sabr and patience أمين <<newline>><<newline>>And to the ones injured may Allah… https://t.co/vpLD2faMHB	159508156
1712187600763588966	2023-10-11T19:25:09.000Z	"Read ""6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000"" on SmartNews: https://t.co/FlVXtNYrRN #SmartNews"	341921916
1712186830668386304	2023-10-11T19:22:05.000Z	Pray for people who lost their lives and for quick recovery of injured people in recent earthquake in Afghanistan.<<newline>>#earthquake_in_Afghanistan https://t.co/5NGNmRMBiP	1622830696036200449
1712185496464433433	2023-10-11T19:16:47.000Z	Pray for Afghanistan, another earthquake has struck 💔 May Allah عزوجل grant those who have lost their lives Jannatul Firdaus and ease the sufferings of the ummah 🤲🏾 https://t.co/6PqQQUGcbm	1483152384570363907
1712185210182176804	2023-10-11T19:15:39.000Z	A 6.3 magnitude #earthquake has struck western #Afghanistan, just days after a series of deadly quakes left an estimated 1,000 people dead. The powerful earthquake struck an area near #Herat, early on Wednesday morning, local time.<<newline>><<newline>>#PoliticalUprising https://t.co/TUubbSz1KG	1129820417651290113
1712185122710311321	2023-10-11T19:15:18.000Z	A 6.3 magnitude earthquake occurred in western Afghanistan,<<newline>>after another major earthquake killed more than 2,000 people and injured thousands more. https://t.co/4nmqizwA8K	1511446902784503810
1712185032599544015	2023-10-11T19:14:57.000Z	@iMRizwanPak More than 2,000 people have lost their lives. In Afghanistan earthquake. But never mind.	937054297606541317
1712182967907369274	2023-10-11T19:06:45.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000<<newline>>https://t.co/nRsLrmP99z	2742566584
1712182333141635084	2023-10-11T19:04:13.000Z	🚨Another 6.3 earthquake struck western Afghanistan on Wednesday morning days after a series of quakes in the same region killed thousands the office of Herat’s governor said several areas devastated by Saturdays earthquakes suffered huge losses <<newline>>https://t.co/YNByDoKe5A	1435522500377518080
1712182201662714355	2023-10-11T19:03:42.000Z	Pakistani star batter Muhammad Rizwan is grieved over loss of human lives in the devastating earthquake in Afghanistan.<<newline>><<newline>>Rizwan in his post on X, formerly known as Twitter, extended his condolences with all the families who have lost their loved ones in the earthquake and prayed… https://t.co/3oY80yBPkz https://t.co/K7k59d4tiT	1122873114088673280
1712181308682649791	2023-10-11T19:00:09.000Z	Another strong earthquake shook western Afghanistan on Wednesday morning after an earlier one killed more than 2,000 people and flattened whole villages in Herat province in what was one of the most destructive quakes in the country's recent history.<<newline>> https://t.co/vsL4sEz92B	17308428
1712181271735185860	2023-10-11T19:00:00.000Z	Villagers are distraught over the loss of their homes and livestock, often their only possessions, and worry about the coming harsh winter months. Some said they had never seen an earthquake before and wondered when the shaking of the ground would stop. <<newline>><<newline>>https://t.co/51H3JynL4V	8731312
1712179606797656320	2023-10-11T18:53:23.000Z	.@UN teams have stepped up their response after another strong earthquake struck western Afghanistan early on Wednesday, just days after powerful earthquakes killed over 2,000 people in the same region. https://t.co/pah2fAVmwn https://t.co/4ZweVgXx6n	104277809
1712178232882016740	2023-10-11T18:47:56.000Z	Afghanistan Earthquake:<<newline>>The death toll from strong earthquakes that took place on Oct 7th followed by another on Oct 11th in western Afghanistan has risen to over 2500. <<newline>>About six villages have been completely destroyed and hundreds of civilians have been buried under the debris,… https://t.co/AY1m1lfDdN https://t.co/CJeoG83GLz	1690363713855893504
1712177578977476672	2023-10-11T18:45:20.000Z	#BREAKING #AFGHANISTAN 🇦🇫 🚨<<newline>><<newline>>6.3 Earthquake has so far killed 3000 Muslims in Afghanistan. <<newline>><<newline>>Many people are still missing. Make your prayers and donations. <<newline>><<newline>>https://t.co/ffHdFeD6Fi https://t.co/hxsrBDrw7n	1710267009491955712
1712177413608845590	2023-10-11T18:44:40.000Z	Afghanistan Earthquake Death Toll Rises to More than 2000...<<newline>><<newline>>https://t.co/iMTCEnohl7<<newline>><<newline>>#afghanistannews #wikikiki #afghannews #naturenews #afganistanearthquake #wiki #afghanquake #quake2023 #afghanearthquake #quakehits #earthquake2023  #2023earthquake https://t.co/MNiK1DeO5V	1496077142899105792
1712176761046196575	2023-10-11T18:42:05.000Z	Pray for Afghanistan, another earthquake has struck 💔 May Allah عزوجل grant those who have lost their lives Jannatul Firdaus and ease the sufferings of the ummah 🤲🏾 https://t.co/Z3g1nRl4gp	3235432688
1712174778629407150	2023-10-11T18:34:12.000Z	6.3 magnitude #earthquake hits part of western #Afghanistan where an earlier quake killed over 2,000 people. https://t.co/6L4aZFFV8J	18425738
1712174556264247489	2023-10-11T18:33:19.000Z	6.3 magnitude earthquake in Afghanistan Herat on Saturday night leaving thousands dead 💔<<newline>><<newline>>Salam Charity are already on the ground responding to the emergency and providing vital essentials to help the victims of the disaster. Please share‼️<<newline>><<newline>>https://t.co/KTxBuHU9Pd	1513557320298643472
1712173752455184470	2023-10-11T18:30:07.000Z	6.3 magnitude earthquake shakes part of western Afghanistan where an earlier quake killed over 2,000<<newline>><<newline>>https://t.co/3eWgMVdPZM	16558796
1712173580228727108	2023-10-11T18:29:26.000Z	Pray for Afghanistan 🇦🇫<<newline>><<newline>>Saturday's tremors killed at least 2,400 people and injured more than 2,000, the Taliban-run government said, making the quakes one of the deadliest in the world so far this year.<<newline>><<newline>>Another quake strikes western Afghanistan<<newline>>#Israel  https://t.co/nzbJRnRfqD	431827747
1712173036097647023	2023-10-11T18:27:17.000Z	London Afghan community devastated over earthquake in western Afghanistan #CDNNews #CDN #News [Video] Members of London's Afghan community say the 6.3-magnitude earthquake that destroyed six villages in western Afghanistan and killed over 2,000 people is… https://t.co/Qy8Ltibd8L	1565044298139049985
1712172361473032669	2023-10-11T18:24:36.000Z	i would also like to raise awareness to another crisis: TWO d3eadly earthquakes in afghanistan. a 6.3 magnitude earthquake has struck in afghanistan, leading to more than 2k casualties. may Allah (swt) grant them the highest levels of jannah. ❤️‍🩹 https://t.co/LIsWbvLsef	1371580011476619265
